No.,Time,Time 1,Time 2,,Delay 1,Delay 2,jitter,
2191,5.150114,5.150114,0,,0,0,0,
2194,5.150114,5.150114,0,,0,0,0,
2196,5.150114,5.150114,0,,0,0,0,
2198,5.150114,5.150114,0,,0,0,0,
2199,5.150114,5.150114,0,,-0.000112,0.000112,0.000224,
2201,5.150114,5.150226,0.000112,,-0.006137,0.006249,0.012386,
2203,5.150226,5.156475,0.006249,,-0.008496,0.014745,0.023241,
2228,5.156475,5.17122,0.014745,,0.014745,0,-0.014745,
2240,5.17122,5.17122,0,,0,0,0,
2244,5.17122,5.17122,0,,-0.00808,0.00808,0.01616,
2252,5.17122,5.1793,0.00808,,-0.013898,0.021978,0.035876,
2261,5.1793,5.201278,0.021978,,0.011294,0.010684,-0.00061,
2262,5.201278,5.211962,0.010684,,0.010684,0,-0.010684,
